"","GB_Code.","Name.","ADM2_EN","ADM2_PCODE","flag_type"
"90",640400,"Guyuanshi","Guyuan","CN064010","none"
"91",632200,"Haibeizangzuzizhizhou","Haibei Tibetan Autonomous Prefecture","CN063020","none"
"92",630200,"Haidongshi","Haidong","CN063030","none"
"93",460100,"Haikoushi","Haikou","CN046080","none"
"94",632500,"Hainanzangzuzizhizhou","Hainan Tibetan Autonomous Prefecture","CN063040","none"
"95",632800,"Haiximengguzuzangzuzizhizhou","Haixi Mongolian Autonomous Prefecture","CN063050","none"
"96",650500,"Hamishi","Hami","CN065070","none"
"97",130400,"Handanshi","Handan","CN013040","none"
"98",330100,"Hangzhoushi","Hangzhou","CN033010","none"
"99",610700,"Hanzhongshi","Hanzhong","CN061030","none"
"100",230100,"Haerbinshi","Harbin","CN023030","none"
"101",410600,"Hebishi","Hebi","CN041020","none"
"102",451200,"Hechishi","Hechi","CN045070","none"
"103",340100,"Hefeishi","Hefei","CN034070","none"
"104",230400,"Hegangshi","Hegang","CN023040","none"
"105",231100,"Heiheshi","Heihe","CN023050","none"
"106",131100,"Hengshuishi","Hengshui","CN013050","none"
"107",430400,"Hengyangshi","Hengyang","CN043040","none"
"108",441600,"Heyuanshi","Heyuan","CN044050","none"
"109",371700,"Hezeshi","Heze","CN037040","none"
"110",451100,"Hezhoushi","Hezhou","CN045080","none"
"111",152200,"Xinganmeng","Hinggan League","CN015050","none"
"112",150100,"Huhehaoteshi","Hohhot","CN015060","none"
"113",532500,"Honghehanizuyizuzizhizhou","Honghe Hani and Yi Autonomous Prefecture","CN053060","none"
"114",653200,"Hetiandiqu","Hotan Prefecture","CN065080","none"
"115",320800,"Huaianshi","Huai'an","CN032020","none"
"116",340600,"Huaibeishi","Huaibei","CN034080","none"
"117",431200,"Huaihuashi","Huaihua","CN043050","none"
"118",340400,"Huainanshi","Huainan","CN034090","none"
"119",421100,"Huanggangshi","Huanggang","CN042030","none"
"120",632300,"Huangnanzangzuzizhizhou","Huangnan Tibetan Autonomous Prefecture","CN063060","none"
"121",341000,"Huangshanshi","Huangshan","CN034100","none"
"122",420200,"Huangshishi","Huangshi","CN042040","none"
"123",441300,"Huizhoushi","Huizhou","CN044060","none"
"124",211400,"Huludaoshi","Huludao","CN021080","none"
"125",150700,"Hulunbeiershi","Hulunbuir","CN015070","none"
"126",330500,"Huzhoushi","Huzhou","CN033020","none"
"127",654000,"Yilihasakezizhizhou","Ili Kazak Autonomous Prefecture","CN065090","none"
"128",360800,"Jianshi","Ji'an","CN036030","none"
"129",230800,"Jiamusishi","Jiamusi","CN023060","none"
"130",440700,"Jiangmenshi","Jiangmen","CN044070","none"
"131",410800,"Jiaozuoshi","Jiaozuo","CN041030","none"
"132",330400,"Jiaxingshi","Jiaxing","CN033030","none"
"133",620200,"Jiayuguanshi","Jiayuguan","CN062040","none"
"134",445200,"Jieyangshi","Jieyang","CN044080","none"
"135",220200,"Jilinshi","Jilin","CN022040","none"
"136",370100,"Jinanshi","Jinan","CN037050","none"
"137",620300,"Jinchangshi","Jinchang","CN062050","none"
"138",140500,"Jinchengshi","Jincheng","CN014030","none"
"139",360200,"Jingdezhenshi","Jingdezhen","CN036040","none"
"140",420800,"Jingmenshi","Jingmen","CN042050","none"
"141",421000,"Jingzhoushi","Jingzhou","CN042060","none"
"142",330700,"Jinhuashi","Jinhua","CN033040","none"
"143",370800,"Jiningshi","Jining","CN037060","none"
"144",140700,"Jinzhongshi","Jinzhong","CN014040","none"
"145",210700,"Jinzhoushi","Jinzhou","CN021090","none"
"146",360400,"Jiujiangshi","Jiujiang","CN036050","none"
"147",620900,"Jiuquanshi","Jiuquan","CN062060","none"
"148",230300,"Jixishi","Jixi","CN023070","none"
"149",419001,"Jiyuanshi","Jiyuan","CN041040","none"
"150",410200,"Kaifengshi","Kaifeng","CN041050","none"
"151",650200,"Kelamayishi","Karamay","CN065100","none"
"152",653100,"Kashidiqu","Kashi Prefecture","CN065110","none"
"153",653000,"Kezileisukeerkezizizhizhou","Kizilsu Kirgiz Autonomous Prefecture","CN065120","none"
"154",530100,"Kunmingshi","Kunming","CN053070","none"
"155",141100,"Lvliangshi","Lüliang","CN014050","none"
"156",451300,"Laibinshi","Laibin","CN045090","none"
"157",131000,"Langfangshi","Langfang","CN013060","none"
"158",620100,"Lanzhoushi","Lanzhou","CN062070","none"
"159",469027,"Ledonglizuzizhixian","Ledong Li Autonomous County","CN046090","none"
"160",511100,"Leshanshi","Leshan","CN051080","none"
"161",540100,"Lasashi","Lhasa","CN054010","none"
"162",540500,"Shannanshi","Lhoka","CN054020","none"
"163",513400,"Liangshanyizuzizhizhou","Liangshan Yi Autonomous Prefecture","CN051090","none"
"164",320700,"Lianyungangshi","Lianyungang","CN032030","none"
"165",371500,"Liaochengshi","Liaocheng","CN037080","none"
"166",211000,"Liaoyangshi","Liaoyang","CN021100","none"
"167",220400,"Liaoyuanshi","Liaoyuan","CN022050","none"
"168",530700,"Lijiangshi","Lijiang","CN053080","none"
"169",530900,"Lincangshi","Lincang","CN053090","none"
"170",141000,"Linfenshi","Linfen","CN014060","none"
"171",469024,"Lingaoxian","Lingao County","CN046100","none"
"172",469028,"Lingshuilizuzizhixian","Lingshui Li Autonomous County","CN046110","none"
"173",622900,"Linxiahuizuzizhizhou","Linxia Hui Autonomous Prefecture","CN062080","none"
"174",371300,"Linyishi","Linyi","CN037090","none"
"175",331100,"Lishuishi","Lishui","CN033050","none"
"176",520200,"Liupanshuishi","Liupanshui","CN052040","none"
"177",450200,"Liuzhoushi","Liuzhou","CN045100","none"
"178",621200,"Longnanshi","Longnan","CN062090","none"
"179",350800,"Longyanshi","Longyan","CN035020","none"
"180",431300,"Loudishi","Loudi","CN043060","none"
"181",341500,"Luanshi","Lu'an","CN034110","none"
"182",410300,"Luoyangshi","Luoyang","CN041070","none"
"183",510500,"Luzhoushi","Luzhou","CN051100","none"
"184",340500,"Maanshanshi","Ma'anshan","CN034120","none"
"185",440900,"Maomingshi","Maoming","CN044090","none"
"186",511400,"Meishanshi","Meishan","CN051110","none"
"187",441400,"Meizhoushi","Meizhou","CN044100","none"
"188",510700,"Mianyangshi","Mianyang","CN051120","none"
"189",231000,"Mudanjiangshi","Mudanjiang","CN023080","none"
"190",540600,"Naqushi","Nagqu Prefecture","CN054030","none"
"191",360100,"Nanchangshi","Nanchang","CN036060","none"
"192",511300,"Nanchongshi","Nanchong","CN051130","none"
"193",320100,"Nanjingshi","Nanjing","CN032040","none"
"194",450100,"Nanningshi","NanNing","CN045110","none"
"195",350700,"Nanpingshi","Nanping","CN035030","none"
"196",320600,"Nantongshi","Nantong","CN032050","none"
"197",411300,"Nanyangshi","Nanyang","CN041080","none"
"198",511000,"Neijiangshi","Neijiang","CN051140","none"
"199",542500,"Alidiqu","Ngari Prefecture","CN054040","none"
"200",513200,"Abazangzuqiangzuzizhizhou","Ngawa Tibetan and Qiang Autonomous Prefecture","CN051150","none"
"201",330200,"Ningboshi","Ningbo","CN033060","none"
"202",350900,"Ningdeshi","Ningde","CN035040","none"
"203",533300,"Nujianglisuzuzizhizhou","Nujiang Lisu Autonomous Prefecture","CN053100","none"
"204",540400,"Linzhishi","Nyingchi","CN054050","none"
"205",150600,"Eerduosishi","Ordos","CN015080","none"
"206",211100,"Panjinshi","Panjin","CN021110","none"
"207",510400,"Panzhihuashi","Panzhihua","CN051160","none"
"208",410400,"Pingdingshanshi","Pingdingshan","CN041090","none"
"209",620800,"Pingliangshi","Pingliang","CN062100","none"
"210",360300,"Pingxiangshi","Pingxiang","CN036070","none"
"211",530800,"Puershi","Pu'er","CN053110","none"
"212",350300,"Putianshi","Putian","CN035050","none"
"213",410900,"Puyangshi","Puyang","CN041100","none"
"214",540300,"Changdoushi","Qamdo","CN054060","none"
"215",522600,"Qiandongnanmiaozudongzuzizhizhou","Qiandongnan Miao and Dong Autonomous Prefecture","CN052050","none"
"216",429005,"Qianjiangshi","Qianjiang","CN042070","none"
"217",522700,"Qiannanbuyizumiaozuzizhizhou","Qiannan Buyi and Miao Autonomous Prefecture","CN052060","none"
"218",522300,"Qianxinanbuyizumiaozuzizhizhou","Qianxinan Buyi and Miao Autonomous Prefecture","CN052070","none"
"219",370200,"Qingdaoshi","Qingdao","CN037100","none"
"220",621000,"Qingyangshi","Qingyang","CN062110","none"
"221",441800,"Qingyuanshi","Qingyuan","CN044110","none"
"222",130300,"Qinhuangdaoshi","Qinhuangdao","CN013070","none"
"223",450700,"Qinzhoushi","Qinzhou","CN045120","none"
"224",469002,"Qionghaishi","Qionghai City","CN046120","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"225",469005,"Wenchangshi","Qionghai City","CN046120","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"226",469030,"Qiongzhonglizumiaozuzizhixian","Qiongzhong Li and Miao Autonomous County","CN046130","none"
"227",230200,"Qiqihaershi","Qiqihar","CN023090","none"
"228",230900,"Qitaiheshi","Qitaihe","CN023100","none"
"229",350500,"Quanzhoushi","Quanzhou","CN035060","none"
"230",530300,"Qujingshi","Qujing","CN053120","none"
"231",330800,"Quzhoushi","Quzhou","CN033070","none"
"232",371100,"Rizhaoshi","Rizhao","CN037110","none"
"233",411200,"Sanmenxiashi","Sanmenxia","CN041110","none"
"234",350400,"Sanmingshi","Sanming","CN035070","none"
"235",460300,"Sanshashi","Sansha","CN046140","none"
"236",460200,"Sanyashi","Sanya","CN046150","none"
"237",310000,"Shanghaishi","Shanghai Municipality","CN031010","none"
"238",611000,"Shangluoshi","Shangluo","CN061040","none"
"239",411400,"Shangqiushi","Shangqiu","CN041120","none"
"240",361100,"Shangraoshi","Shangrao","CN036080","none"
"241",440500,"Shantoushi","Shantou","CN044120","none"
"242",441500,"Shanweishi","Shanwei","CN044130","none"
"243",440200,"Shaoguanshi","Shaoguan","CN044140","none"
"244",330600,"Shaoxingshi","Shaoxing","CN033080","none"
"245",430500,"Shaoyangshi","Shaoyang","CN043070","none"
"246",429021,"Shennongjialinqu","Shennongjia Forestry District","CN042080","none"
"247",210100,"Shenyangshi","Shenyang","CN021120","none"
"248",440300,"Shenzhenshi","Shenzhen","CN044150","none"
"249",659001,"Shihezishi","Shihezi","CN065130","none"
"250",130100,"Shijiazhuangshi","Shijiazhuang","CN013080","none"
"251",420300,"Shiyanshi","Shiyan","CN042090","none"
"252",640200,"Shizuishanshi","Shizuishan","CN064020","none"
"253",230500,"Shuangyashanshi","Shuangyashan","CN023110","none"
"254",140600,"Shuozhoushi","Shuozhou","CN014070","none"
"255",220300,"Sipingshi","Siping","CN022060","none"
"256",220700,"Songyuanshi","Songyuan","CN022070","none"
"257",231200,"Suihuashi","Suihua","CN023120","none"
"258",510900,"Suiningshi","Suining","CN051170","none"
"259",421300,"Suizhoushi","Suizhou","CN042100","none"
"260",321300,"Suqianshi","Suqian","CN032060","none"
"261",370900,"Taianshi","Tai'an","CN037120","none"
"262",140100,"Taiyuanshi","Taiyuan","CN014080","none"
"263",130200,"Tangshanshi","Tangshan","CN013090","none"
"264",654200,"Tachengdiqu","Tarbaĝatay Prefecture","CN065140","none"
"265",120000,"Tianjinshi","Tianjin Municipality","CN012010","none"
"266",429006,"Tianmenshi","Tianmen","CN042110","none"
"267",620500,"Tianshuishi","Tianshui","CN062120","none"
"268",211200,"Tielingshi","Tieling","CN021130","none"
