Name:,GB_Code:
Qujingshi,530300
Yuxishi,530400
Baoshanshi,530500
Zhaotongshi,530600
Lijiangshi,530700
Puershi,530800
Lincangshi,530900
Chuxiongyizuzizhizhou,532300
Honghehanizuyizuzizhizhou,532500
Wenshanzhuangzumiaozuzizhizhou,532600
Xishuangbannadaizuzizhizhou,532800
Dalibaizuzizhizhou,532900
Dehongdaizujingpozuzizhizhou,533100
Nujianglisuzuzizhizhou,533300
Diqingzangzuzizhizhou,533400
Lasashi,540100
Rikazeshi,540200
Changdoushi,540300
Linzhishi,540400
Shannanshi,540500
Naqushi,540600
Alidiqu,542500
Xianshi,610100
Tongchuanshi,610200
Baojishi,610300
Xianyangshi,610400
Weinanshi,610500
Yananshi,610600
Hanzhongshi,610700
Ankangshi,610900
Shangluoshi,611000
Lanzhoushi,620100
Jiayuguanshi,620200
Jinchangshi,620300
Baiyinshi,620400
Tianshuishi,620500
Wuweishi,620600
Zhangyeshi,620700
Pingliangshi,620800
Jiuquanshi,620900
Qingyangshi,621000
Dingxishi,621100
Longnanshi,621200
Linxiahuizuzizhizhou,622900
Gannanzangzuzizhizhou,623000
Xiningshi,630100
Haidongshi,630200
Haibeizangzuzizhizhou,632200
Huangnanzangzuzizhizhou,632300
Hainanzangzuzizhizhou,632500
Guoluozangzuzizhizhou,632600
Yushuzangzuzizhizhou,632700
Haiximengguzuzangzuzizhizhou,632800
Yinchuanshi,640100
Shizuishanshi,640200
Wuzhongshi,640300
Guyuanshi,640400
Zhongweishi,640500
Wulumuqishi,650100
Kelamayishi,650200
Tulufanshi,650400
Hamishi,650500
Changjihuizuzizhizhou,652300
Boertalamengguzizhizhou,652700
Bayinguolengmengguzizhizhou,652800
Akesudiqu,652900
Kezileisukeerkezizizhizhou,653000
Kashidiqu,653100
Hetiandiqu,653200
Yilihasakezizhizhou,654000
Tachengdiqu,654200
Aleitaidiqu,654300
Shihezishi,659001
Alaershi,659002
Tumushukeshi,659003
Wujiaqushi,659004
Tiemenguanshi,659006
