,population,distance_from_Beijing,R_0 1.5,R_0 2,R_0 3,R_0 4,R_0 5,R_0 6,Total_route_length_m,travel_time_S,travel_time_S_Google,DegreeCentrality,EigenvectorCentrality,PageRank,WeightedPersonalizedPagerank,Hubs,BetweennessCentrality,WeightedPersonalizedPagerankWuhanOutflow,WeightedPersonalizedPagerankBeijingInflow
Xilinguoleimeng_152500,1123328.5076332986,2821115.490483839,130,78,47,37,31,27,664601.2359999996,14164.500000000004,33660,0.9085545722713864,7.217526023167567e-107,0.0004411764705882,0.0,-0.0,-0.0,0.0,0.0019823625460357
Shenyangshi_210100,9221428.972453296,4093677.191738576,165,95,58,43,35,31,814715.7300000006,15105.900000000018,28440,1.6253687315634218,0.0041257273400315,0.0089231218754582,0.0085192395107005,0.0009739293797319,0.0009739293797319,0.0031436141310593,0.0092573751933115
Dalianshi_210200,6342456.263155937,4047895.714088479,166,96,59,43,36,31,904929.3400000002,18108.4,31860,1.7079646017699115,0.003058494644932,0.0033395891843788,0.0033350583307509,0.0007191730881804,0.0007191730881804,0.0014682287361582,0.0035706821065243
Anshanshi_210300,3525686.809744239,4080217.89334338,177,103,62,45,38,33,711534.6929999997,16373.800000000005,25800,1.6666666666666667,0.0005053746560604,0.0027988460265837,0.0022861123352027,0.0001293625524047,0.0001293625524047,0.0008097510872477,0.0025332705747657
Fushunshi_210400,2071638.1075994968,4240245.977562664,179,105,63,46,38,34,898007.5120000006,17185.8,30960,1.5781710914454277,0.0005114026902319,0.0019081000456374,0.001580949585484,0.0001378746583632,0.0001378746583632,0.0005132013530812,0.0015437021636197
Benxishi_210500,1800518.5142564774,4236484.619444477,186,108,65,47,39,35,906448.5320000004,16588.500000000004,37080,1.519174041297935,0.0001984067193241,0.0014120237672096,0.0008417255570984,5.0444183720475485e-05,5.0444183720475485e-05,0.0003384412466001,0.0010002499297713
Dandongshi_210600,1936064.1328140495,4249409.133080241,176,102,61,45,38,33,1042588.5410000004,20234.099999999995,36180,1.5634218289085546,0.0003811547681106,0.0015024069747877,0.0012653384247984,0.0001007312148714,0.0001007312148714,0.000411473170919,0.0011562182345943
Jinzhoushi_210700,3093574.694830537,3930035.603390012,166,97,59,44,36,32,584501.6710000007,12021.8,25260,1.6578171091445428,0.0005111831240593,0.0025213183774483,0.0024122292913522,0.0001310717540331,0.0001310717540331,0.0007408019525703,0.0026663422891832
Yingkoushi_210800,2482606.459097981,4092099.880708704,176,102,61,45,38,33,720807.1269999996,14283.600000000006,26820,1.616519174041298,0.0004224247811964,0.0021664946573321,0.0017835200062947,0.0001053829513467,0.0001053829513467,0.0006248881681133,0.0019027993970842
Fuxinshi_210900,1796658.9713498354,3937087.671505662,171,100,60,45,37,32,668987.3830000007,14587.30000000002,25380,1.5486725663716814,0.0003121478349357,0.0014099301342004,0.0011880505141511,8.350264709687405e-05,8.350264709687405e-05,0.0003554297089098,0.001175585095972
Liaoyangshi_211000,2203957.933285713,4133294.575322448,186,109,65,47,39,35,743678.9139999995,15045.600000000006,25680,1.5870206489675516,0.000268033392747,0.0019254774720527,0.0013017690532346,6.881343201432646e-05,6.881343201432646e-05,0.0005075018674487,0.0015328976190959
Panjinshi_211100,1442039.0959374905,4025293.21361233,167,97,59,43,36,31,629227.6740000002,12350.000000000002,21840,1.5604719764011798,0.0003020524534295,0.0018484869335472,0.0015048549966918,7.897172650075418e-05,7.897172650075418e-05,0.0004884082495428,0.0016231472574242
Tielingshi_211200,2510474.547502339,4200191.260249779,184,107,65,46,39,35,888129.9160000007,16432.3,30660,1.592920353982301,0.0007056924357235,0.0021475759924936,0.0017530808387827,0.0001780795662286,0.0001780795662286,0.0006008426204499,0.0017386955421084
Zhaoyangshi_211300,3053989.06106779,3729980.490452313,160,94,57,41,35,31,452972.6680000001,9359.000000000004,18540,1.6194690265486726,0.0005351633161777,0.0018403532503772,0.0020844690963844,0.0001352230474732,0.0001352230474732,0.0005339974627752,0.0022870537519117
Huludaoshi_211400,2361545.744226694,3785116.026488891,139,82,48,37,31,27,508957.5100000002,10478.700000000012,19920,1.6755162241887906,0.000828867758789,0.0021011260193266,0.0027584354734713,0.00021245004622,0.00021245004622,0.0007038402068303,0.0031164255328484
Changchunshi_220100,8312476.041438222,4290045.164203726,173,99,60,44,37,32,1167217.579000002,21242.099999999995,41160,1.672566371681416,0.0032378924930718,0.0072120403237143,0.0056785741455236,0.000770358797787,0.000770358797787,0.0024219542372831,0.0059056716432539
Jilinshi_220200,4428350.038580716,4429443.407921184,184,106,64,46,39,34,1233120.2730000024,24607.00000000001,44760,1.7079646017699115,0.000652671268091,0.0023762101034624,0.0017214676054802,0.0001509320980242,0.0001509320980242,0.000792751093737,0.0017584203150229
Sipingshi_220300,3471626.34535116,4162747.384432239,186,109,65,47,39,35,1022055.8640000004,20224.8,36660,1.5811209439528024,0.0006445495722525,0.0030222840154371,0.002285223540874,0.0001476296780149,0.0001476296780149,0.0008654261906466,0.0022173001586409
Liaoyuanshi_220400,1061981.555111766,4343741.65682826,184,107,64,46,39,34,1044118.8630000008,18701.2,36480,1.4041297935103243,0.0001013563037826,0.0011391766175361,0.0005158051605732,2.247478049675531e-05,2.247478049675531e-05,0.0002070405571399,0.0006043609591619
Tonghuashi_220500,2301755.3634086847,4401388.600387283,189,110,66,47,40,35,1101611.9789999996,20941.39999999999,38040,1.528023598820059,0.000195557138345,0.0015684620606784,0.000835855455371,4.5332794777451e-05,4.5332794777451e-05,0.0003253541696655,0.0009272237730585
Baishanshi_220600,1185230.8259958029,4506140.462150491,190,110,66,47,40,35,1209777.5800000017,22239.799999999992,44040,1.4336283185840708,0.0001013339006211,0.0010159290072314,0.0003872660484028,2.213999343607081e-05,2.213999343607081e-05,0.0001775211162884,0.0004643231208703
Songyuanshi_220700,2996397.983472705,4132076.592990476,191,111,67,47,40,36,1217133.718000002,21799.09999999998,36900,1.575221238938053,0.000375068660857,0.0021856613207204,0.001468385638549,8.501059527109728e-05,8.501059527109728e-05,0.0005670005044408,0.0014613253571334
Baichengshi_220800,1977455.2891552448,3962214.831942546,190,110,66,47,40,35,1451924.0240000011,26853.300000000043,45240,1.4778761061946903,0.0001445646407003,0.0015342704360224,0.000835414385864,3.1221056776896205e-05,3.1221056776896205e-05,0.0003395204748083,0.0009008913545408
Yanbianchaoxianzuzizhizhou_222400,2262925.011859,4634131.385094452,185,108,65,47,40,35,1431368.332000001,25012.50000000001,48600,0.9262536873156342,7.217526023167567e-107,0.0004411764705882,0.0,-0.0,-0.0,0.0,0.000720601631529
Haerbinshi_230100,12047502.551062942,4413639.684055604,177,102,61,45,38,33,1467421.1590000018,28202.500000000025,50040,1.6607669616519174,0.0037402053309837,0.0063776347473313,0.0048684341963888,0.0008809185525773,0.0008809185525773,0.0020420510164265,0.0052446402756981
Qiqihaershi_230200,5353790.53446734,4054916.545261551,191,111,66,48,41,35,1716939.264000001,30576.40000000001,54360,1.616519174041298,0.0005253332444219,0.0023793167290587,0.0016217577336331,0.0001221261236819,0.0001221261236819,0.0005842047109028,0.0016287479921345
Jixishi_230300,1769501.8685784936,4938993.566577442,201,116,69,48,41,37,1900959.0160000024,34425.900000000016,63960,1.3864306784660767,6.215470294750393e-05,0.0010533561257634,0.0003329325987409,1.3147342816581886e-05,1.3147342816581886e-05,0.0001459652183868,0.0004551303094909
Hegangshi_230400,1047796.474775076,4865629.023283655,197,113,67,47,41,36,1844357.2920000025,34595.999999999985,69300,1.2861356932153392,3.347193627400803e-05,0.0009041254335554,0.0002460631883483,7.09930377763782e-06,7.09930377763782e-06,9.835929289705014e-05,0.0003383583791796
Shuangyashanshi_230500,1461189.3787828088,4969515.512123498,197,114,68,48,40,36,1949078.658000002,37468.29999999999,69240,1.3451327433628315,4.991186543654416e-05,0.001248609285128,0.0003995535880531,1.0710336321820544e-05,1.0710336321820544e-05,0.0001611664785777,0.0005449349430206
Daqingshi_230600,3370662.9977651834,4197969.943688357,184,106,63,46,39,34,1401486.9420000012,29453.90000000004,47040,1.648967551622419,0.000405363349421,0.0023162049988883,0.0015976121223588,9.608085430836316e-05,9.608085430836316e-05,0.0005738528039056,0.0016503147058574
Jiamusishi_230800,2737813.865146637,4838727.35776512,192,111,66,47,40,35,1891698.2130000012,32737.19999999999,63480,1.471976401179941,0.0002113946185161,0.0019931346584465,0.0008955247602672,5.031534264645672e-05,5.031534264645672e-05,0.0003241301598915,0.0010398084102037
Qitaiheshi_230900,1028425.8834786416,4903734.777287199,209,121,72,49,44,38,1863260.574000002,34070.00000000002,59820,1.2418879056047198,3.130437523869287e-05,0.000842339361043,0.0002093509378926,6.582991341464061e-06,6.582991341464061e-06,8.654449923201536e-05,0.000279816337442
Mudanjiangshi_231000,2871188.0889608264,4692972.109302563,189,109,65,47,40,35,1588925.474000001,28887.900000000027,53340,1.5103244837758112,0.0002030708787293,0.0013028500039026,0.0006731749752407,4.8526734941921485e-05,4.8526734941921485e-05,0.000246186463887,0.0007587345859302
Heiheshi_231100,1611071.9829954507,4326179.219713754,201,116,69,48,41,37,1877571.528000002,38389.50000000001,64500,1.3480825958702063,7.751095468929517e-05,0.0010855666650367,0.0004456344325022,1.595514239625354e-05,1.595514239625354e-05,0.0001797184734698,0.0005066923215296
Suihuashi_231200,5635429.814770341,4325155.060639263,198,115,69,48,41,37,1523728.5410000016,28802.700000000008,50160,1.5781710914454277,0.0005103353945766,0.0028656114211519,0.0019943969888149,0.000113171250402,0.000113171250402,0.0007240378805113,0.0020552650703621
Daxinganlingdiqu_232700,287717.35502898693,4070793.033017862,187,108,65,46,40,35,2451598.2209999943,53716.69999999996,93600,1.233038348082596,2.3321321599535047e-05,0.000657100492358,0.0001453932319722,4.7331033080335215e-06,4.7331033080335215e-06,6.54563975504665e-05,0.0001639896460784
Shanghaishi_310000,30990581.62995529,4410140.855471215,174,100,60,45,37,32,1410210.0130000033,26573.799999999967,43620,1.5132743362831858,0.0317633503321732,0.0132696712908882,0.0132652886656999,0.0070596843926047,0.0070596843926047,0.0135687472919274,0.0134993696319104
Nanjingshi_320100,10541162.760114431,4104906.2985002254,179,102,61,45,38,32,1239370.451000001,23564.49999999998,37380,1.59882005899705,0.012235660521,0.0088059553567233,0.0079612273171597,0.0024702078089703,0.0024702078089703,0.0077235494408352,0.0069879286826869
Wuxishi_320200,7957573.653803349,4269607.01182529,192,111,66,48,40,35,1342474.4920000045,24600.89999999997,41940,1.551622418879056,0.0080852984539757,0.0050910544750369,0.004275207469122,0.0017460820974351,0.0017460820974351,0.0043652252918627,0.0040700389602374
Xuzhoushi_320300,8113360.850665331,3752659.673578043,188,109,65,47,40,35,842332.6749999997,15832.800000000028,26580,1.542772861356932,0.0044847180302245,0.003933860667907,0.0036202474011133,0.0009096854147772,0.0009096854147772,0.0028497864594475,0.0036003739769999
Changzhoushi_320400,5535662.409371614,4224486.276270816,195,113,67,48,40,36,1304792.7510000037,24578.699999999968,40200,1.6106194690265487,0.006341052577915,0.0044059146149376,0.0035757285805406,0.0013225362273687,0.0013225362273687,0.0035974757902508,0.0032630169247748
Nantongshi_320600,6678797.65051508,4262939.911388496,192,111,67,48,40,36,1296763.1330000036,23693.89999999998,38760,1.6224188790560472,0.0067528251171921,0.0034384508379117,0.0029109871703216,0.0014848832964542,0.0014848832964542,0.0028335269872586,0.0028960417460685
Lianyungangshi_320700,4145975.100821972,3969688.833106969,194,113,67,48,40,36,900521.2429999999,17274.30000000002,28200,1.71976401179941,0.0018445991758489,0.002565093547443,0.0021280318598549,0.0003563389334573,0.0003563389334573,0.0017643909319429,0.0020415612551364
Huaianshi_320800,4483263.565946817,4034498.867626572,202,117,70,49,42,37,1056826.1989999989,19130.200000000008,33420,1.7492625368731562,0.0042461099413903,0.0026779763167982,0.0021343303839319,0.0008781626905493,0.0008781626905493,0.0017956296246803,0.0017842701681869
Yanchengshi_320900,6718542.6135391,4103731.053549296,199,116,69,49,41,37,1064359.4999999995,20302.70000000001,33120,1.663716814159292,0.0084902286197364,0.0029789731936584,0.0024147715952118,0.0018622598713418,0.0018622598713418,0.0022260131617031,0.0023185591516232
Yangzhoushi_321000,4397174.697696924,4120131.811733767,192,111,66,47,39,35,1143539.5730000008,20121.6,37320,1.7935103244837758,0.0059984281046988,0.0026802081301415,0.0022213054935968,0.0012853552081698,0.0012853552081698,0.0020320397633876,0.0018700525088789
Zhenjiangshi_321100,3336800.006526232,4178961.802362302,194,113,68,49,41,36,1248898.3340000014,23531.999999999975,38580,1.6784660766961652,0.0086133685455763,0.0033412468912517,0.0029083193849048,0.001878783843751,0.001878783843751,0.0026048371174359,0.0022199001672676
Suqianshi_321300,4459885.576781988,3956195.187118665,201,117,70,49,41,37,1068240.4729999988,19432.5,30600,1.6696165191740413,0.005921279951739,0.0027448702451256,0.0023282347837378,0.0012860077553552,0.0012860077553552,0.0018649200827019,0.0019386525716697
Hangzhoushi_330100,10389630.151901484,4269315.652841351,179,102,60,44,37,32,1641627.4800000065,31638.499999999964,49260,1.4985250737463127,0.0212522395640924,0.0118974570180778,0.0101640707895553,0.0046734641722855,0.0046734641722855,0.011542029253882,0.0094660155212132
Ningboshi_330200,8767060.850094318,4483613.561898314,198,114,69,49,41,37,1644274.140000006,31853.09999999996,49140,1.533923303834808,0.0089105176121414,0.0048804029618576,0.0037414186327853,0.0019885410895639,0.0019885410895639,0.0044291887755739,0.0035060331863932
Wenzhoushi_330300,9588293.859657764,4509809.6809252,210,121,73,52,44,39,1966751.6450000051,36602.69999999997,60360,1.5545722713864307,0.0067223489753243,0.0035588755978594,0.0023241905990838,0.0015161928801734,0.0015161928801734,0.0034748597847962,0.0022279914574657
Jiaxingshi_330400,5562342.307675362,4397341.157151872,194,113,69,49,42,36,1464984.148000004,27973.199999999957,44280,1.6135693215339233,0.0109122287052066,0.0049102481804104,0.0040123510187951,0.0024460187012295,0.0024460187012295,0.0044518655514528,0.0037299086540313
Huzhoushi_330500,3040137.877990008,4287173.870007015,194,113,68,49,42,36,1469245.194000004,29294.399999999983,44880,1.654867256637168,0.0089987473129045,0.0035275886570113,0.0032584481199082,0.0020269209894074,0.0020269209894074,0.0029887318000404,0.0023454739713583
Shaoxingshi_330600,5362592.344079971,4403298.147239257,201,117,71,53,43,37,1618027.514000006,31391.099999999977,51300,1.584070796460177,0.0083204973634515,0.0040003167430514,0.0033354320230383,0.0018755524634034,0.0018755524634034,0.0034942789861515,0.0027269050085709
Jinhuashi_330700,6279291.226139069,4373405.513858074,201,117,70,50,43,37,1778204.813000006,33825.49999999994,53580,1.5457227138643068,0.0073976218321146,0.0045337204876524,0.0031023091777534,0.0016458099571519,0.0016458099571519,0.0040465645807236,0.0029538977021843
Quzhoushi_330800,2147173.862197876,4256915.86476194,205,119,72,54,43,38,1767458.2210000053,32350.799999999945,53280,1.6843657817109143,0.0017764646998207,0.0018161731158887,0.0009716043090237,0.0003983304137097,0.0003983304137097,0.0013378815541613,0.0009336419190951
Zhoushanshi_330900,642327.4013638496,4584155.815378275,187,107,64,46,39,34,1675060.6410000054,34099.79999999995,51720,1.7315634218289084,0.0021332793936083,0.0015838382441789,0.0009319381903169,0.0004781181944464,0.0004781181944464,0.0011549556044184,0.0008820995082516
Lishuishi_331100,2021591.1550381184,4371671.13386748,212,123,74,57,44,38,1939571.4150000056,35621.39999999995,60420,1.6991150442477876,0.0013404190742593,0.0017258079377632,0.0008796510786594,0.0003083623134059,0.0003083623134059,0.0014765373976817,0.000824861262074
Hefeishi_340100,8576748.528220654,3937217.966734458,184,105,62,46,38,33,1178126.7790000024,23137.60000000001,36900,1.5309734513274336,0.0082893750202648,0.0073419588736677,0.0058354837420463,0.0018320902217904,0.0018320902217904,0.0068740262649668,0.004922712374108
Wuhushi_340200,3414659.6729984283,4087674.402457951,188,108,64,47,39,34,1358536.7840000044,25993.59999999997,40560,1.6873156342182891,0.0063707370457457,0.00298267461604,0.0021767020930411,0.001413144979286,0.001413144979286,0.0023702480650747,0.0017845563956447
Bengbushi_340300,2985542.158106804,3887309.996448877,185,109,66,47,39,35,1024486.2799999998,21317.80000000001,33240,0.7109144542772862,7.217526023167567e-107,0.0004411764705882,0.0,-0.0,-0.0,0.0,0.0013239618087471
Huainanshi_340400,2379018.263010025,3863511.076275347,198,115,69,49,42,37,1043667.2869999998,20983.60000000001,34680,1.6843657817109143,0.0016446471574101,0.0022095072564518,0.0016184764740755,0.0003693812653947,0.0003693812653947,0.0016635158056926,0.0011438285200594
Maanshanshi_340500,2275662.1266868114,4087107.2216627295,192,111,66,47,39,35,1238599.3500000015,25025.399999999998,37440,1.71976401179941,0.0018595159324874,0.002330896318579,0.0017720215838879,0.000376408415454,0.000376408415454,0.0017461230201049,0.0012990262077918
Huaibeishi_340600,2337810.3193421364,3815297.968083472,201,116,70,49,41,37,909032.1719999998,18427.90000000004,29700,1.71976401179941,0.0006910067444732,0.0013587344936324,0.0007528063892237,0.0001413736947831,0.0001413736947831,0.0007625119704245,0.000725381242979
Tonglingshi_340700,766680.458013773,4114416.9637274826,191,110,66,47,39,35,1335660.235000004,26652.200000000004,41400,1.7404129793510323,0.0006608003903277,0.0014315764537361,0.0007360997285583,0.000130900260649,0.000130900260649,0.000980041578265,0.000581460202937
Anqingshi_340800,5501119.82296753,3940844.1907154666,198,114,68,48,40,36,1419832.157000005,24954.600000000028,42840,1.654867256637168,0.0052528855892041,0.0025859059142313,0.0019300908832901,0.0011745880844501,0.0011745880844501,0.0027285805557989,0.0014267123515371
Huangshanshi_341000,1351177.6991717815,4132437.459287109,191,110,65,47,39,35,1695858.9380000008,29967.299999999985,49440,1.828908554572272,0.0022800865237176,0.0016207758657737,0.0010639995192434,0.0005005280988922,0.0005005280988922,0.00135019577037,0.0007067653565282
Chuzhoushi_341100,3967066.3648278713,3956013.045646711,201,117,71,50,43,38,1108408.6910000006,21493.7,34380,1.6342182890855457,0.0071620597206885,0.00298622577318,0.002485868219188,0.0015970568608381,0.0015970568608381,0.0022432377982441,0.0017330564846937
Fuyangshi_341200,7292449.676030159,3706012.16309904,192,111,66,48,40,35,1023684.2699999998,19384.300000000017,33540,1.536873156342183,0.0062888511373163,0.003429985045124,0.0027931225852102,0.0013933555783869,0.0013933555783869,0.003078754140997,0.0025598485795962
Luanshi_341500,5406177.921385765,3841419.568352861,197,116,71,49,43,38,1192960.571000003,21354.00000000002,36840,0.6430678466076696,7.217526023167567e-107,0.0004411764705882,0.0,-0.0,-0.0,0.0,0.0016641003291525
Bozhoushi_341600,4803801.857208252,3720616.353009181,198,114,69,49,40,37,1033349.8909999998,20032.90000000001,31440,1.6194690265486726,0.0038367196577087,0.0025593435313052,0.0019205025141963,0.0008345337579294,0.0008345337579294,0.0019527542434955,0.0016899256186034
Chizhoushi_341700,1418781.3256998062,4073744.806042028,197,113,68,48,40,36,1539273.7540000034,27307.999999999985,47220,1.7256637168141593,0.000929732453555,0.0015772731239589,0.0011393572355238,0.0002050892850295,0.0002050892850295,0.0011845728779365,0.0006669030744006
Xuanchengshi_341800,2393394.264800787,4170541.5291419607,202,118,71,51,43,38,1445008.835000004,28371.299999999977,43980,1.6873156342182891,0.0017426909360971,0.0020887837295567,0.0012964510571029,0.0003519359057313,0.0003519359057313,0.0015305288176131,0.0011108650376678
