Location,Hour,Min
Jinzhoushi_210700,7,1
Fangchenggangshi_450600,26,0
Rizhaoshi_371100,7,6
Fuxinshi_210900,7,3
Hefeishi_340100,10,15
Anqingshi_340800,11,54
Wuzhoushi_450400,21,39
Guigangshi_450800,22,8
Pingxiangshi_360300,16,14
Hezhoushi_451100,19,45
Chenzhoushi_431000,17,30
Chuzhoushi_341100,9,33
Suqianshi_321300,8,30
Yantaishi_370600,6,51
Baichengshi_220800,12,34
Qingdaoshi_370200,6,22
Lianyungangshi_320700,7,50
Qinzhoushi_450700,23,50
Jianshi_360800,15,59
Xinyushi_360500,15,26
Panjinshi_211100,6,4
Qingyuanshi_441800,20,54
Nanchangshi_360100,14,26
Huaianshi_320800,9,17
Dalianshi_210200,8,51
Qiqihaershi_230200,15,6
Beihaishi_450500,24,0
Daxinganlingdiqu_232700,26,0
Shaoguanshi_440200,19,7
Chizhoushi_341700,13,7
Zhaoqingshi_441200,20,41
Anshanshi_210300,7,10
Maanshanshi_340500,10,24
Wuhushi_340200,11,16
Shangraoshi_361100,15,26
Yingkoushi_210800,7,27
Shenyangshi_210100,7,54
Yanchengshi_320900,9,12
Nanjingshi_320100,10,23
Tonglingshi_340700,11,30
Yunfushi_445300,22,9
Yangzhoushi_321000,10,22
Ganzhoushi_360700,18,35
Jingdezhenshi_360200,14,9
Weihaishi_371000,8,14
Maomingshi_440900,23,3
Songyuanshi_220700,10,15
Zhanjiangshi_440800,24,0
Huangshanshi_341000,13,44
Liaoyangshi_211000,7,8
Sipingshi_220300,10,11
Xuanchengshi_341800,12,13
Zhenjiangshi_321100,10,43
Daqingshi_230600,13,4
Yingtanshi_360600,15,28
Tielingshi_211200,8,31
Yangjiangshi_441700,22,22
Foshanshi_440600,21,10
Changzhoushi_320400,11,10
Guangzhoushi_440100,20,56
Benxishi_210500,10,18
Fushunshi_210400,8,36
Dandongshi_210600,10,3
Jiangmenshi_440700,22,25
Heyuanshi_441600,20,17
Quzhoushi_330800,14,48
Danzhoushi_460400,29,0
Nantongshi_320600,10,46
Nanpingshi_350700,17,2
Changjianglizuzizhixian_469026,30,0
Hangzhoushi_330100,13,41
Wuxishi_320200,11,39
Dongfangshi_469007,31,0
Lingaoxian_469024,28,0
Sanmingshi_350400,18,26
Baishalizuzizhixian_469025,31,0
Huizhoushi_441300,21,5
Huzhoushi_330500,12,28
Changchunshi_220100,11,26
Chengmaixian_469023,29,0
Zhongshanshi_442000,21,54
Dongguanshi_441900,21,36
Haikoushi_460100,28,0
Longyanshi_350800,18,47
Suihuashi_231200,13,56
Heiheshi_231100,17,55
Ledonglizuzizhixian_469027,30,0
Qiongzhonglizumiaozuzizhixian_469030,29,0
Zhuhaishi_440400,29,0
Liaoyuanshi_220400,10,8
Dinganxian_469021,29,0
Tunchangxian_469022,29,0
Wuzhishanshi_469001,30,0
Shenzhenshi_440300,21,28
Meizhoushi_441400,19,54
Lishuishi_331100,16,47
Jinhuashi_330700,14,53
Sanyashi_460200,31,0
Qionghaishi_469002,29,0
Baotinglizumiaozuzizhixian_469029,31,0
Lingshuilizuzizhixian_469028,30,0
Jiaxingshi_330400,12,18
Tonghuashi_220500,10,34
Shaoxingshi_330600,14,15
Wanningshi_469006,30,0
Shanghaishi_310000,12,7
Haerbinshi_230100,13,54
Jilinshi_220200,12,26
Shanweishi_441500,22,1
Jieyangshi_445200,21,13
Ningdeshi_350900,18,41
Zhangzhoushi_350600,20,29
Quanzhoushi_350500,19,44
Ningboshi_330200,13,39
Chaozhoushi_445100,21,47
Baishanshi_220600,12,14
