Location,distance_from_Beijing,population,Total_route_length_m,travel_time_S
Baiyinshi_620400,2335111.018705401,1733323.0737644732,1521664.5770000003,28625.200000000008
Zhongweishi_640500,2387933.409636614,1072537.156352669,1385916.0310000004,24582.90000000001
Dingxishi_621100,2417517.308936025,2655485.24068141,1831725.5799999998,37121.59999999991
Abazangzuqiangzuzizhizhou_513200,2441820.6228993274,954467.3792188764,2399374.9219999975,40219.59999999997
Yinchuanshi_640100,2464606.999178319,2404075.646860242,1229716.2230000012,22183.10000000003
Shizuishanshi_640200,2466948.487301408,754228.2801419795,1154835.5420000013,20830.300000000032
Eerduosishi_150600,2475187.345457168,2749650.737619549,909388.2610000002,15996.200000000019
Wuzhongshi_640300,2489064.078872421,1582394.940980941,1264594.919000001,23695.000000000025
Wuhaishi_150300,2489757.781329006,684964.1943908631,1089963.797000001,19843.600000000017
Guyuanshi_640400,2508578.889024148,1543676.95398283,1531463.6750000005,29224.80000000001
Longnanshi_621200,2599802.492458714,2574861.509556532,1739533.2480000004,32240.899999999976
Tianshuishi_620500,2600866.606985052,3262645.157170773,1688529.4230000002,31516.599999999973
Pingliangshi_620800,2626761.2734190635,2021499.423143864,1643549.808,28206.599999999966
Qingyangshi_621000,2645486.7341929907,2025975.709099412,1333322.465000001,25436.600000000006
Baotoushi_150200,2656246.635353337,3114012.558115214,699719.9799999994,19154.599999999984
Mianyangshi_510700,2687583.670486138,4170227.361711621,2072810.8770000006,34521.99999999994
Yananshi_610600,2748952.419068913,2325161.561426282,1083278.8650000002,19203.700000000008
Wulanchabushi_150900,2755350.435083092,1994853.7794875205,570863.0739999998,16172.999999999995
Yaanshi_511800,2760698.346707267,1488820.9625971315,2381208.208999998,40673.59999999996
Baojishi_610300,2765436.836196775,3886630.2803583145,1501911.0990000002,25509.699999999986
Guangyuanshi_510800,2776012.3328103954,2020670.497317433,1904417.564000001,33340.799999999974
Liangshanyizuzizhizhou_513400,2791822.322270757,5421746.6596438885,2721177.6779999966,46394.69999999996
Chengdushi_510100,2797098.9643136524,17751779.347988844,2206295.100999997,36817.29999999997
Deyangshi_510600,2801618.2744597127,3477987.6077637672,2126902.2179999994,35103.799999999974
Huhehaoteshi_150100,2815646.914105651,3432674.6505264044,544264.2930000003,11940.899999999996
Hanzhongshi_610700,2818407.467287137,3458409.8001092672,1659059.5840000005,27651.89999999997
Xilinguoleimeng_152500,2821115.490483839,1123328.5076332986,664601.2359999996,14164.500000000004
Xianyangshi_610400,2864909.7742341384,5414396.659724474,1406430.002999999,25738.799999999985
Lijiangshi_530700,2869092.585152903,1348953.345793724,3656955.3920000056,72872.19999999982
Meishanshi_511400,2887977.733230626,2768210.6570940022,2335303.4569999967,39132.19999999996
Leshanshi_511100,2917307.966064014,3169027.786043405,2459354.169999999,41362.999999999985
Ziyangshi_512000,2930934.0938412286,2898271.193270684,2337289.1789999967,39512.19999999998
Nanchongshi_511300,2939188.136628332,5802755.708249569,1993060.7250000006,34736.799999999945
Bazhongshi_511900,2949624.102989355,3234391.2354586124,1904986.130000001,33968.69999999997
Suiningshi_510900,2956034.29343047,3057156.657436848,2202477.000999997,36555.99999999997
Xianshi_610100,2960624.355269206,9681851.763688087,1343335.2549999992,23331.000000000004
Xinzhoushi_140900,2966176.9483494894,3157592.1086147428,545874.1210000003,11266.000000000011
Tongchuanshi_610200,2966624.283530967,894127.6516155005,1257751.6549999996,21805.90000000003
Dalibaizuzizhizhou_532900,2968031.857619981,3682062.411503911,3494857.173000006,66730.89999999985
