Location,distance_from_Beijing,population,Total_route_length_m,travel_time_S
Baishanshi_220600,4506140.462150491,1185230.8259958029,1209777.5800000017,22239.799999999992
Wenzhoushi_330300,4509809.6809252,9588293.859657764,1966751.6450000054,36602.69999999997
Shantoushi_440500,4512005.697711014,5977552.521266938,2550892.120999989,43684.69999999985
Putianshi_350300,4542272.2743831305,2540352.9668364525,2455639.2409999925,43525.899999999856
Xiamenshi_350200,4544325.659442164,4891272.981667519,2493517.744999991,42907.29999999987
Zhoushanshi_330900,4584155.815378275,642327.4013638496,1675060.6410000054,34099.79999999995
Yanbianchaoxianzuzizhizhou_222400,4634131.385094452,2262925.011859,1431368.3320000013,25012.50000000001
Mudanjiangshi_231000,4692972.109302563,2871188.0889608264,1588925.474000001,28887.900000000027
Jiamusishi_230800,4838727.35776512,2737813.865146637,1891698.2130000014,32737.19999999999
Hegangshi_230400,4865629.023283655,1047796.474775076,1844357.2920000025,34595.999999999985
Qitaiheshi_230900,4903734.777287199,1028425.8834786416,1863260.5740000021,34070.00000000002
Jixishi_230300,4938993.566577442,1769501.8685784936,1900959.0160000024,34425.900000000016
Shuangyashanshi_230500,4969515.512123498,1461189.3787828088,1949078.658000002,37468.29999999999
