ID,100_initial_infections_at,Name,Beijing_100_infections_time,distance_from_Beijing,population,Longitude,Latitude
140700,Jinzhongshi_140700,Jinzhong,58,3132202.9154970637,3525701.6823654175,112.93833768726356,37.31674108966509
140800,Yunchengshi_140800,Yuncheng,61,3124070.618184418,5526741.49804306,111.05909733743867,35.1772102798355
140900,Xinzhoushi_140900,Xinzhou,56,2966176.9483494894,3157592.1086147428,112.37908709157986,38.873648134865476
141000,Linfenshi_141000,Linfen,58,3029485.677388369,4931468.356818914,111.34208956612206,36.22205715221561
150100,Huhehaoteshi_150100,Hohhot,49,2815646.914105651,3432674.6505264044,111.4652132494287,40.59691960290601
150200,Baotoushi_150200,Baotou,55,2656246.6353533375,3114012.558115214,110.23549877374661,41.54726614698748
150300,Wuhaishi_150300,Wuhai,59,2489757.781329006,684964.1943908631,106.87078211086141,39.55504712208687
150400,Chifengshi_150400,Chifeng,50,3398900.5699904147,4173962.418392569,118.84735281271075,43.20992989927135
150500,Tongliaoshi_150500,Tongliao,60,3696935.990316418,3246610.565872237,121.55958395497373,43.79723295779859
150600,Eerduosishi_150600,Ordos,58,2475187.3454571674,2749650.737619549,108.60712962292924,39.40897808798765
150700,Hulunbeiershi_150700,Hulunbuir,62,3302230.407123528,2563286.430618271,121.18373560753912,49.64159612813738
150800,Bayannaoershi_150800,Bayannur,59,2240799.648799864,1650138.55654791,107.55532844370812,41.43300955250146
150900,Wulanchabushi_150900,Ulanqab,50,2755350.4350830917,1994853.7794875205,112.42512574516525,41.68429324646065
152200,Xinganmeng_152200,Hinggan League,62,3733308.9451252148,1567374.4814848304,121.32301919586702,46.20772380935218
152500,Xilinguoleimeng_152500,Xilingol League,47,2821115.490483839,1123328.5076332986,115.4875893730981,44.1893048971298
152900,Alashanmeng_152900,Alxa League,57,1338003.360418285,298964.8749966826,102.43611324914411,40.4842257227235
210100,Shenyangshi_210100,Shenyang,58,4093677.1917385757,9221428.972453296,123.11707531285234,42.0886507437251
210200,Dalianshi_210200,Dalian,59,4047895.7140884786,6342456.263155937,122.2214765830591,39.60555322001828
210300,Anshanshi_210300,Anshan,62,4080217.8933433797,3525686.809744239,122.97884147413944,40.703051199022134
210400,Fushunshi_210400,Fushun,63,4240245.977562664,2071638.1075994968,124.61753410987505,41.805261660554955
210500,Benxishi_210500,Benxi,65,4236484.619444477,1800518.5142564774,124.52788542753272,41.20733049955877
210600,Dandongshi_210600,Dandong,61,4249409.133080241,1936064.1328140497,124.38511918807701,40.5467945028267
210700,Jinzhoushi_210700,Jinzhou,59,3930035.603390012,3093574.694830537,121.58868655347081,41.45758249084864
210800,Yingkoushi_210800,Yingkou,61,4092099.880708704,2482606.4590979815,122.44855730017733,40.369084589406924
210900,Fuxinshi_210900,Fuxin,60,3937087.671505662,1796658.9713498354,121.93561397770353,42.267995172472425
211000,Liaoyangshi_211000,Liaoyang,65,4133294.575322448,2203957.933285713,123.19786203061291,41.16943677685534
211100,Panjinshi_211100,Panjin,59,4025293.21361233,1442039.0959374905,122.00385681640601,41.095435814283874
211200,Tielingshi_211200,Tieling,65,4200191.260249779,2510474.547502339,124.14000971329985,42.63345160136075
211300,Zhaoyangshi_211300,Chaoyang,57,3729980.4904523133,3053989.06106779,119.98461126809592,41.48334491665306
211400,Huludaoshi_211400,Huludao,48,3785116.026488891,2361545.744226694,120.1550553035577,40.59993078011936
220100,Changchunshi_220100,Changchun,60,4290045.164203726,8312476.041438222,125.7165145620489,44.38039278429928
220200,Jilinshi_220200,Jilin,64,4429443.407921184,4428350.038580716,126.79899180268255,43.5854575344822
220300,Sipingshi_220300,Siping,65,4162747.3844322385,3471626.3453511596,124.44390132452696,43.56650768670993
220400,Liaoyuanshi_220400,Liaoyuan,64,4343741.65682826,1061981.5551117659,125.26727929318751,42.79282777148887
220500,Tonghuashi_220500,Tonghua,66,4401388.600387283,2301755.3634086847,125.91220417781555,41.946266073819665
220600,Baishanshi_220600,Baishan,66,4506140.462150491,1185230.8259958029,127.24056674793262,42.064636904505406
220700,Songyuanshi_220700,Songyuan,67,4132076.5929904757,2996397.983472705,124.42798987941646,44.7986032134856
220800,Baichengshi_220800,Baicheng,66,3962214.8319425466,1977455.2891552448,122.97009747462204,45.34274080274477
222400,Yanbianchaoxianzuzizhizhou_222400,Yanbian Korean Autonomous Prefecture,65,4634131.385094452,2262925.0118589997,129.06071483387666,43.146265100517454
230100,Haerbinshi_230100,Harbin,61,4413639.684055604,12047502.551062942,127.921418792434,45.63349786960569
230200,Qiqihaershi_230200,Qiqihar,66,4054916.5452615507,5353790.5344673395,124.51820179294238,47.66945011237452
230300,Jixishi_230300,Jixi,69,4938993.566577442,1769501.8685784936,132.25481538277012,45.63115679868197
230400,Hegangshi_230400,Hegang,67,4865629.023283655,1047796.4747750759,130.7498929228977,47.6182780705579
230500,Shuangyashanshi_230500,Shuangyashan,68,4969515.512123498,1461189.3787828088,132.5159698806884,46.668151476130035
